wavelength,1,2,3,4,5
470.0,0.2184,0.18942,0.12772999999999998,0.11101,0.0434
469.0,0.22115,0.19166,0.12877,0.11159000000000001,0.042589999999999996
468.0,0.22385,0.19384,0.12987,0.11212000000000001,0.041819999999999996
467.0,0.22648000000000001,0.19607,0.13099,0.11270999999999999,0.0412
466.0,0.22904000000000002,0.19821,0.13209,0.11333,0.04066
465.0,0.2316,0.20031,0.13313,0.11394000000000001,0.04007
464.0,0.23398000000000002,0.20227,0.13414,0.11449000000000001,0.03952
463.0,0.23621999999999999,0.20412,0.13508,0.11505,0.03904
462.0,0.23835,0.20586999999999997,0.136,0.11563,0.03863
461.0,0.24044000000000001,0.20751,0.13694,0.11619000000000002,0.03832
460.0,0.24251999999999999,0.20923000000000003,0.13792000000000001,0.11684000000000001,0.03816
459.0,0.24441,0.21086,0.13885,0.11748,0.03803
458.0,0.2462,0.21241,0.13974,0.11814000000000001,0.03795
457.0,0.24796999999999997,0.21391,0.14065,0.11877,0.03796
456.0,0.24963000000000002,0.21536,0.1415,0.11944,0.038110000000000005
455.0,0.25109000000000004,0.21656,0.1423,0.1201,0.03823
454.0,0.25236,0.21766999999999997,0.14306,0.12070999999999998,0.038439999999999995
453.0,0.25356999999999996,0.21865,0.14373,0.12125,0.0387
452.0,0.25479,0.2197,0.14445999999999998,0.12193,0.03914
451.0,0.25588,0.22071,0.14526,0.12265,0.03972
450.0,0.25683,0.22161999999999998,0.14599,0.12339000000000001,0.040389999999999995
449.0,0.25769000000000003,0.22238000000000002,0.14679,0.1241,0.04112
448.0,0.25834,0.22301999999999997,0.14745999999999998,0.12482,0.0419
447.0,0.25892,0.22361999999999999,0.1482,0.12563,0.04289
446.0,0.2594,0.22413000000000002,0.14883,0.1265,0.044000000000000004
445.0,0.25969000000000003,0.22448,0.14943,0.12736,0.04523
444.0,0.25991,0.22476999999999997,0.15005,0.12818,0.04657
443.0,0.26005,0.22499,0.15063,0.12907000000000002,0.048060000000000005
442.0,0.2601,0.22511,0.15137,0.13007,0.04981
441.0,0.25987,0.2252,0.15197,0.13095,0.051570000000000005
440.0,0.25955,0.22507,0.15257,0.13189,0.05346
439.0,0.25924,0.22498,0.15322,0.13302,0.05554
438.0,0.2587,0.22474,0.15382,0.1341,0.057679999999999995
437.0,0.258,0.22438000000000002,0.15433,0.13512000000000002,0.05997
436.0,0.25723,0.22401999999999997,0.15495,0.13629000000000002,0.06251
435.0,0.25645,0.22357,0.15567999999999999,0.13755,0.06512000000000001
434.0,0.25554,0.22298,0.15625999999999998,0.1388,0.06786
433.0,0.25445999999999996,0.22229000000000002,0.15682000000000001,0.14,0.07063
432.0,0.25337,0.22163000000000002,0.15739,0.14129,0.0736
431.0,0.25206,0.22089,0.15802,0.14262,0.07664
430.0,0.25051,0.21996999999999997,0.15842,0.14388,0.07979
429.0,0.24896,0.21894,0.15889,0.14513,0.08296
428.0,0.24744000000000002,0.21786999999999998,0.15944,0.1463,0.08625
427.0,0.24578000000000003,0.21675999999999998,0.1599,0.14759,0.08968
426.0,0.24405,0.21559,0.16035,0.14899,0.09303
425.0,0.24229,0.21435,0.16072999999999998,0.15020999999999998,0.09641
424.0,0.24036,0.21294000000000002,0.16113,0.15145999999999998,0.09987
423.0,0.23829,0.2116,0.16152,0.15267,0.10327
422.0,0.23618000000000003,0.21016999999999997,0.16176,0.15384,0.10664000000000001
421.0,0.23399999999999999,0.20856999999999998,0.16205999999999998,0.15494000000000002,0.10995
420.0,0.23187,0.20724,0.1623,0.15623,0.11344000000000001
419.0,0.22959000000000002,0.20558,0.16235,0.15736,0.11678
418.0,0.22726,0.20381,0.16219,0.1582,0.11993
417.0,0.22496999999999998,0.20213,0.16226,0.15915,0.12295999999999999
416.0,0.22243000000000002,0.20031,0.16217,0.15987,0.12605999999999998
415.0,0.22007,0.19845,0.1622,0.16068,0.12914
414.0,0.21741999999999997,0.19658,0.16205999999999998,0.16147999999999998,0.13197
413.0,0.21495999999999998,0.19471,0.16189,0.16222,0.13473
412.0,0.21234,0.19268,0.16155,0.16269,0.13727999999999999
411.0,0.20974,0.1907,0.16114,0.16313,0.13969
410.0,0.20711999999999997,0.18875999999999998,0.16080999999999998,0.16346,0.14189000000000002
409.0,0.20432,0.1867,0.1602,0.16360999999999998,0.14377
408.0,0.20178,0.18458,0.15962,0.1638,0.14587999999999998
407.0,0.19902,0.18233,0.1589,0.16397,0.14778
406.0,0.19618,0.18018,0.15822999999999998,0.16396,0.14944000000000002
405.0,0.19339,0.17800000000000002,0.15739,0.16387000000000002,0.15103
404.0,0.19049000000000002,0.17572000000000002,0.15632000000000001,0.16348,0.15215
403.0,0.18792,0.17356,0.15556,0.16327,0.1534
402.0,0.18502000000000002,0.17125,0.15445,0.16271,0.15427000000000002
401.0,0.18211,0.16883,0.15327000000000002,0.1619,0.15507
400.0,0.17901,0.16623,0.15181,0.16143,0.15559
399.0,0.17633,0.16405999999999998,0.15059,0.16068,0.15598
398.0,0.17347,0.16171,0.14925,0.15974000000000002,0.15609
397.0,0.17062,0.15928,0.14774,0.15861,0.15597
396.0,0.16791,0.1569,0.14622000000000002,0.1575,0.15583
395.0,0.16521,0.15454,0.1447,0.15635,0.15557
394.0,0.16254000000000002,0.15214,0.14305,0.15505,0.15503
393.0,0.15996,0.15,0.14144,0.1537,0.15434
392.0,0.15741,0.14779,0.13971,0.15229,0.15342999999999998
391.0,0.15492,0.14555,0.13802,0.15089,0.15238
390.0,0.15242999999999998,0.1433,0.13616,0.14935,0.15120999999999998
389.0,0.15001,0.14115999999999998,0.1345,0.14770999999999998,0.14979
388.0,0.14767,0.13910999999999998,0.1327,0.1459,0.14825
387.0,0.14536,0.13692000000000001,0.13074000000000002,0.14413,0.14658
386.0,0.14306,0.1349,0.12887,0.14243,0.14481
385.0,0.14092000000000002,0.13292,0.12717,0.14063,0.14311
384.0,0.1389,0.13101,0.12533,0.13893,0.14110999999999999
383.0,0.13688,0.12907000000000002,0.12357,0.13706,0.13908
382.0,0.13487000000000002,0.12719,0.12167,0.13512000000000002,0.13693
381.0,0.13302,0.12533,0.11975999999999999,0.13310999999999998,0.13467
380.0,0.13111,0.12351,0.11784000000000001,0.13122,0.13239
379.0,0.12951,0.12190999999999999,0.11617000000000001,0.12925999999999999,0.13033
378.0,0.12807000000000002,0.1205,0.11449000000000001,0.12746,0.12802
377.0,0.12634,0.11885,0.11262,0.12555999999999998,0.12567
376.0,0.12487000000000001,0.11732000000000001,0.11098,0.1237,0.12336
375.0,0.12355999999999999,0.11597,0.10935999999999998,0.12193,0.12103
374.0,0.12219000000000001,0.11459000000000001,0.10767,0.12005999999999999,0.11872
373.0,0.12072000000000001,0.11329000000000002,0.10602,0.11824000000000001,0.11627
372.0,0.11955999999999999,0.11224,0.10440999999999999,0.11657000000000001,0.11385999999999999
371.0,0.11848,0.11095,0.10304,0.11470999999999999,0.11148
370.0,0.11755,0.10992,0.10159,0.11315,0.10928
369.0,0.11654,0.10873,0.09996000000000001,0.11142,0.10676
368.0,0.11533,0.10749,0.09842999999999999,0.10962000000000001,0.10432000000000001
367.0,0.11452999999999999,0.10645999999999999,0.09702999999999999,0.10793,0.10209
366.0,0.11375999999999999,0.10578,0.09571,0.10665,0.09988
365.0,0.11312,0.1051,0.09452999999999999,0.10529000000000001,0.09767
364.0,0.11212000000000001,0.10396,0.09311,0.10357999999999999,0.0954
363.0,0.11133,0.10312,0.0918,0.10197,0.09337000000000001
362.0,0.1107,0.10239,0.09068999999999999,0.10055,0.09099
361.0,0.11016,0.10157999999999999,0.08952,0.09913999999999999,0.08900000000000001
360.0,0.10984000000000001,0.10146000000000001,0.08795,0.09783,0.08678999999999999
359.0,0.10899,0.10048,0.08668,0.09648,0.08484
358.0,0.10843,0.09957,0.08549,0.09539,0.08282
357.0,0.10795999999999999,0.09902999999999999,0.08463999999999999,0.09419,0.08085
356.0,0.10761,0.09844,0.08363999999999999,0.09289,0.0788
355.0,0.10730999999999999,0.09807,0.08322,0.09175,0.07731
354.0,0.10668,0.09746,0.08216,0.09072999999999999,0.07577
353.0,0.10651,0.09717999999999999,0.08129,0.08982000000000001,0.07418999999999999
352.0,0.1059,0.09684,0.08054,0.08857000000000001,0.07297000000000001
351.0,0.10540999999999999,0.0965,0.07973,0.08759,0.0714
350.0,0.10497000000000001,0.09567,0.07877,0.08645,0.06988
